c_Colonia,c_CodigoPostal,Nombre del asentamiento,,,,,,,,,
1813,62757,Condominios del Bosque,,,,,,,,,
1813,63538,San Pablo,,,,,,,,,
1813,67185,Las Avenidas,,,,,,,,,
1813,69805,Santo Domingo Huendio,,,,,,,,,
1813,74696,Santo Domingo Chapultepec,,,,,,,,,
1813,76720,Chintepec,,,,,,,,,
1813,78622,Palmar de los Sacerdotes,,,,,,,,,
1813,82706,Palos Blancos,,,,,,,,,
1813,83753,Buenos Aires,,,,,,,,,
1813,86930,Carlos A. Madrazo,,,,,,,,,
1813,89705,Guadalupe Victoria,,,,,,,,,
1813,97246,Anexo Juan Pablo II,,,,,,,,,
1814,11490,Cuauhtémoc Pensil,,,,,,,,,
1814,22530,Segunda Parte del Soler,,,,,,,,,
1814,25140,Las Mitras,,,,,,,,,
1814,33474,Atascaderos,,,,,,,,,
1814,35942,Vicente Guerrero (7 Zacates),,,,,,,,,
1814,37634,20 de Noviembre,,,,,,,,,
1814,40050,El Paraíso,,,,,,,,,
1814,43703,San Rafael los Teteles,,,,,,,,,
1814,47189,La Cieneguita,,,,,,,,,
1814,52169,Purísima,,,,,,,,,
1814,60466,Santa Catarina,,,,,,,,,
1814,62757,Tezahuapan,,,,,,,,,
1814,63543,San Vicente,,,,,,,,,
1814,67185,Fomerrey 32,,,,,,,,,
1814,69802,Tierra Azul,,,,,,,,,
1814,74697,Huejonapan de Aquiles Serdán,,,,,,,,,
1814,76700,Los Girasoles,,,,,,,,,
1814,78622,Santa Cruz,,,,,,,,,
1814,82708,Guadalupe Victoria,,,,,,,,,
1814,86930,Nuevo México,,,,,,,,,
1814,89706,González,,,,,,,,,
1814,93995,Corregidora,,,,,,,,,
1814,97142,Antonia Jimenez Trava II,,,,,,,,,
1815,11490,Pensil Sur,,,,,,,,,
1815,22425,Centro Comercial Otay,,,,,,,,,
1815,25125,Adolfo Lopez Mateos,,,,,,,,,
1815,30837,Cahuacan,,,,,,,,,
1815,35944,Magallanes,,,,,,,,,
1815,37635,Loma Alta,,,,,,,,,
1815,40050,Militar,,,,,,,,,
1815,47189,Rosas Azules,,,,,,,,,
1815,52169,Real de San Javier,,,,,,,,,
1815,60460,Tancitaro,,,,,,,,,
1815,62757,Puerta de Hierro,,,,,,,,,
1815,63543,San Vicente Viejo,,,,,,,,,
1815,67184,Colibrí 3,,,,,,,,,
1815,69802,El Carrizal,,,,,,,,,
1815,74698,Morelos,,,,,,,,,
1815,78622,Santa Cruz,,,,,,,,,
1815,82703,Colinas del Río,,,,,,,,,
1815,83756,Valle Del Sol,,,,,,,,,
1815,86930,Carlos Enrique Abreu,,,,,,,,,
1815,89703,Rosillo,,,,,,,,,
1815,97203,Arboledas Chuburna,,,,,,,,,
1816,11500,Irrigación,,,,,,,,,
1816,22626,El Rubí,,,,,,,,,
1816,25124,Ignacio Allende,,,,,,,,,
1816,30840,Ciudad Hidalgo,,,,,,,,,
1816,33474,San Ignacio de los Almazán (A. San Ignacio),,,,,,,,,
1816,35944,Palmas Verdes,,,,,,,,,
1816,40050,Patria,,,,,,,,,
1816,43705,Tepalzingo,,,,,,,,,
1816,47195,El Pueblito,,,,,,,,,
1816,52169,Xinantécatl,,,,,,,,,
1816,60466,Uringüitiro,,,,,,,,,
1816,62747,Residencial del Bosque,,,,,,,,,
1816,63540,San Victoria,,,,,,,,,
1816,67189,Colibrí 2,,,,,,,,,
1816,69802,El Vergel,,,,,,,,,
1816,74699,San Felipe Otlaltepec,,,,,,,,,
1816,76705,20 de Enero 1a Sección,,,,,,,,,
1816,78622,San Agustin,,,,,,,,,
1816,82702,Arroyitos,,,,,,,,,
1816,83754,Las Lomas,,,,,,,,,
1816,86930,Luis Felipe Domínguez,,,,,,,,,
1816,89720,Magiscatzin,,,,,,,,,
1816,92785,Cruz Naranjos,,,,,,,,,
1816,97238,Brisas del Poniente (Yucalpeten),,,,,,,,,
1817,22215,El Águila,,,,,,,,,
1817,30840,El Dorado Nuevo,,,,,,,,,
1817,33475,San Rafael,,,,,,,,,
1817,35945,La Planilla,,,,,,,,,
1817,37640,Cabras de Guadalupe,,,,,,,,,
1817,40050,Periodista,,,,,,,,,
1817,43645,La Cruz,,,,,,,,,
1817,47192,Las Cruces,,,,,,,,,
1817,52170,El Carmen,,,,,,,,,
1817,60486,Zirimondiro,,,,,,,,,
1817,62747,Residencial los Arcos,,,,,,,,,
1817,63540,Santa Anita,,,,,,,,,
1817,67189,2 de Junio,,,,,,,,,
1817,74700,Santa Cruz,,,,,,,,,
1817,76743,La D Santa Barbara,,,,,,,,,
1817,78622,Santo Niño,,,,,,,,,
1817,82706,Víctor Manuel Quintero,,,,,,,,,
1817,83906,Jesús Siqueiros,,,,,,,,,
1817,86930,Las Flores,,,,,,,,,
1817,89729,Fortín Agrario (Estación Calles),,,,,,,,,
1817,92700,Cruz Verde,,,,,,,,,
