municipality,state,description,start_date,end_date
013,GRO,Azoyú,1/1/22,
013,GUA,Doctor Mora,1/1/22,
013,HID,Atotonilco de Tula,1/1/22,
013,JAL,Atotonilco el Alto,1/1/22,
013,MEX,Atizapán de Zaragoza,1/1/22,
013,MIC,Carácuaro,1/1/22,
013,MOR,Jonacatepec,1/1/22,
013,NAY,San Pedro Lagunillas,1/1/22,
013,NLE,China,1/1/22,
013,OAX,Ciénega de Zimatlán,1/1/22,
013,PUE,Altepexi,1/1/22,
013,QUE,Peñamiller,1/1/22,
013,SIN,Mocorito,1/1/22,
013,SLP,Ciudad Valles,1/1/22,
013,SON,Banámichi,1/1/22,
013,TAB,Nacajuca,1/1/22,
013,TAM,Güémez,1/1/22,
013,TLA,Huamantla,1/1/22,
013,VER,Naranjos Amatlán,1/1/22,
013,YUC,Conkal,1/1/22,
013,ZAC,General Enrique Estrada,1/1/22,
014,COA,Jiménez,1/1/22,
014,CHH,Coronado,1/1/22,
014,CHP,El Bosque,1/1/22,
014,CMX,Benito Juárez,1/1/22,
014,DUR,Mezquital,1/1/22,
014,GRO,Benito Juárez,1/1/22,
014,GUA,Dolores Hidalgo Cuna de la Independencia Nacional,1/1/22,
014,HID,Calnali,1/1/22,
014,JAL,Atoyac,1/1/22,
014,MEX,Atlacomulco,1/1/22,
014,MIC,Coahuayana,1/1/22,
014,MOR,Mazatepec,1/1/22,
014,NAY,Santa María del Oro,1/1/22,
014,NLE,Doctor Arroyo,1/1/22,
014,OAX,Ciudad Ixtepec,1/1/22,
014,PUE,Amixtlán,1/1/22,
014,QUE,Querétaro,1/1/22,
014,SIN,Rosario,1/1/22,
014,SLP,Coxcatlán,1/1/22,
014,SON,Baviácora,1/1/22,
014,TAB,Paraíso,1/1/22,
014,TAM,Guerrero,1/1/22,
014,TLA,Hueyotlipan,1/1/22,
014,VER,Amatlán de los Reyes,1/1/22,
014,YUC,Cuncunul,1/1/22,
014,ZAC,General Francisco R. Murguía,1/1/22,
015,COA,Juárez,1/1/22,
015,CHH,Coyame del Sotol,1/1/22,
015,CHP,Cacahoatán,1/1/22,
015,CMX,Cuauhtémoc,1/1/22,
015,DUR,Nazas,1/1/22,
015,GRO,Buenavista de Cuéllar,1/1/22,
015,GUA,Guanajuato,1/1/22,
015,HID,Cardonal,1/1/22,
015,JAL,Autlán de Navarro,1/1/22,
015,MEX,Atlautla,1/1/22,
015,MIC,Coalcomán de Vázquez Pallares,1/1/22,
